year,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66up,primary school,middle school,high  school,diploma,bachelor,master_up
2004,770,1316,1428,1764,2156,2160,1603,1305,759,725,1619,3281,1876,5325,2527,2922,527
2005,1090,1510,1558,1687,2025,2004,1566,1231,747,684,1727,3100,1737,5467,2519,3201,566
2006,1077,1463,1559,1724,2123,2143,1578,1227,860,632,1648,2899,1770,5330,2643,3498,625
2007,980,1239,1536,1614,2044,1994,1736,1320,1004,588,1657,2787,1791,5337,2483,3443,592
2008,1037,1222,1472,1749,2065,1997,1850,1372,1176,709,1763,2841,1726,5416,2399,3681,730
2009,931,1171,1398,1641,1988,1977,1811,1351,1265,682,1621,2590,1600,5185,2389,3660,748
2010,1012,1008,1192,1533,1754,1980,1845,1494,1319,855,1949,2685,1718,4992,2240,3824,764
2011,966,1015,1152,1523,1678,1866,1832,1659,1495,1007,2392,2961,1831,5091,2241,3865,857
2012,915,1034,964,1330,1601,1888,1777,1660,1709,1248,2592,3069,1798,4998,2266,3956,830
2013,873,1186,1255,1714,2085,2501,2825,2939,2777,2443,4417,4898,2785,7301,3285,5426,1320
2014,1054,1175,1154,1661,1874,2289,2480,2821,2814,2683,4611,4793,2841,7014,3152,5399,1354
2015,935,1184,1053,1534,1932,2094,2405,2861,2835,2736,4758,4491,2725,7053,3307,5882,1486
2016,944,1184,1096,1480,2049,2092,2351,2674,2755,2775,5072,4377,2762,6870,3166,6130,1623
